title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
Disbursement Transaction Statements (DTS) and Form IRS Information Returns,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Program5516S,2023-04-13,2023-04-19,Inactive,,"These specifications cover the production of the design & development of the Disbursement Transaction Statements (DTSs) printed, folded (or flat), & inserted into printed envelopes; and multiple different IRS Information Returns; the desig",https://sam.gov/opp/bd4cbaa44df142b489ab43b20b7fa735/view,,
Health Care Benefits Overview 2023 1st Printing,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,HealthCareBenefitsOverview20231stPrinting777453(2023),2023-04-13,2023-04-20,Inactive,,"These specifications cover the production of Health Care Benefits Booklets; requiring such operations as presswork, and bindery. Complete specifcations may be found at: https://www.gpo.gov/how-to-work-with-us/vend",https://sam.gov/opp/7e51c91708944cf499a5d22f047b999a/view,,
"Veterans ""High Risk Flag"" (HRF) Mailings",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,VeteransHighRiskFlagHRFMailings2529S,2023-04-12,2023-04-17,Inactive,,"These specifications cover the secure (PII/PHI) production of envelopes and notecards, requiring such operations as pickup of furnished materials, electronic prepress, proofs, address list processing, printing in black and two additional colors (d",https://sam.gov/opp/b269a030c20b46ec9c9962b3c74c5ea7/view,,
Digital File Format Expert Analysis for the Sustainability of Digital Formats,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV23R0025,2023-04-12,2023-03-02,Inactive,,4/12/2023 Contract Award Notice 030ADV23R0025- Digital File Format Expert Analysis for the Sustainability of Digital Formats Award Details Contract Award Num,https://sam.gov/opp/618e144e5330447a92b96784132a6934/view,,
"Black American in Congress, 1870-2022",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,051328,2023-04-11,2023-04-17,Inactive,,Item 1: Smyth Sewn Perfect-Bound Book Item 2: Smyth Sewn Case-Bound Book Item 3: French Fold Dust Cover Item 4: Laminated Dust Cover,https://sam.gov/opp/1533d281ef9e47d78b5ec3a3141b195d/view,,
ATF Form 4473 – Firearms Transaction Record Part 1,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,0211S_2023,2023-04-11,2023-04-25,Inactive,,"These specifications cover the production of forms requiring such operations as electronic prepress, printing, binding, packing, and distribution.",https://sam.gov/opp/b824db5f1558487e86d6d015fb0268fa/view,,
Wooden and Metal Book Trucks for the Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLGD22D0041,2023-04-10,,Inactive,,"A public competition was held for an IDIQ for Wooden and MEtal book trucks for the Library of Congress. The solicitation number and the award number, awardee, and total dolalr value of the IDIQ's ceiling is included in the data in this public",https://sam.gov/opp/809e7dc999fa40cc87a26b3aae8a007d/view,Effective Communication Strategies LLC,
GPO Digitization Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,420-893,2023-04-10,2023-04-14,Inactive,,"PRINTING: Scanning Services Required (NO PRINTING REQUIRED). PRODUCTS TO BE SCANNED: Documents are stored in approx. 255 archival boxes, fragile, and good quality originals, 8-1/2 x 11"" and some non-standard sizes Forms,",https://sam.gov/opp/16bbc70b197445d3aa040548ea03a4ef/view,,
GPO Digitization Services,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,420-983,2023-04-10,2023-04-14,Inactive,,"PRINTING: Scanning Services Required (NO PRINTING REQUIRED) PRODUCTS TO BE SCANNED: Documents are stored in approx. 255 archival boxes, fragile, and good quality originals, 8-1/2 x 11"" and some non-standard sizes Forms, H",https://sam.gov/opp/4f490d7befe94d2db9808e5333894129/view,,
CPP Predictive Maintenance Support Service,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Sources Sought,04102023-001,2023-04-10,2023-04-24,Inactive,,"The Architect of the Capitol (AOC) has a requirement for a contract for Capitol Power Plant, with a period of performance of a one-year base a four- one-year option periods. 1.0 General:",https://sam.gov/opp/ee9971b48db44f94b3c25662104bb9e3/view,,
Speaker Replacements - NAVCC,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23Q0111,2023-04-06,2023-04-17,Inactive,,Amendment 1 - The purpose of this amendment is to answer questions submitted by potential offerors. No other changes are made. - - - - - - The Library of Congress (Library) requires the replacement of the existing equipment in the,https://sam.gov/opp/a46febac38cd45ac86d775c6a0a9b26c/view,,
Customs Regulations of the United States and Supplemental Updates,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,PROGRAM710S(2024),2023-04-06,2023-04-20,Inactive,,"These specifications cover the production of a loose-leaf book and supplemental updates with transmittal and filing instruction pages, and Index, requiring such operations as initial creation and updating/maintenance of a database file",https://sam.gov/opp/6974197918cf4ce28a35c13aa4ab5a1a/view,,
Miscellaneous Notices,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,MiscellaneousNotices212S(2023),2023-04-06,2023-04-19,Inactive,,"These specifications cover the production of mailers consisting of personalized English and/or personalized bilingual Spanish/English notices, Business Reply Envelopes (BRE), Courtesy Reply Envelopes (CRE), and mail-out envelopes requiring such op",https://sam.gov/opp/b907d6ee9cae4f65a526590dd18fb4b8/view,,
Purchase of a Dual Fuel Boiler,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Sources Sought,04062023C-003,2023-04-06,2023-04-20,Inactive,,"Title: Purchase of a Dual Fuel Boiler NAICS Code: 561210, Facility Support Services ",https://sam.gov/opp/cff1b9976b8e4a5db1d6dc126d074200/view,,
Purchase of a Dual Fuel Boiler,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Sources Sought,04062023B-002,2023-04-06,2023-04-20,Inactive,,"Title: Purchase of a Dual Fuel Boiler NAICS Code: 561210, Facility Support Services ",https://sam.gov/opp/4530530f88304e0e9425a1d39be9ec36/view,,
Purchase of a Dual Fuel Boiler,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Sources Sought,RFI-04062023A-0001,2023-04-06,2023-04-20,Inactive,,"This source sought notice is issued solely for information and planning purposes to gain knowledge of potential sources capable of fully satisfying a potential requirement. This is not a solicitation announcement, nor does it promise a solic",https://sam.gov/opp/eea247a7419940029907beee20402f90/view,,
"Book, Memorandum. NSN: 7530-01-060-7511",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,740112Jacket,2023-04-05,2023-04-12,Inactive,,"PRINTING: 144 text pages/72 leaves. must be faint line ruled on the face and back with 15 rules per page, spaced 18 points apart. Contractor will be required to use a 133-line screen for rules screened at 40%. All rules must align acro",https://sam.gov/opp/83d9b44a1d634a468803cb04949adf83/view,,
Medicare and You 2024 Spanish,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Medicare_and_You_2024_424-368,2023-04-05,2023-04-14,Inactive,,"The estimated requirement of this product is approximately 825,000 to 900,000 handbooks, There are 11 items (Spanish Area-Specific Handbooks). Complete specifications may be found at: https://www.gpo.gogv/how-to-work-with-us/vendors/cont",https://sam.gov/opp/10173324200d43ceafc1f8cc3e5e05da/view,,
ICE Detainee Handbook,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,ICEDetaineeHandbook718-710(2023),2023-04-05,2023-04-13,Inactive,,"ICE Detainee Handbooks- Arabic, Bengali, Chinese, French, Romanian, and Russian. These specifications cover the production of separate-covered saddle-stitched booklets requiring such operations as electronic prepress, printing, binding, packi",https://sam.gov/opp/0fea08401744448aa7a15b60ea570082/view,,
Personnel Accountability System,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Sources Sought,2023-S-005,2023-04-04,2023-04-24,Inactive,,The purpose of this SSN is to gather information about available software applications that will allow users to create a manifest or list of individuals during emergencies or special events. This application should have user interface (UI) flexibi,https://sam.gov/opp/9f47b0d1da094bbd9874c2ced90ce39d/view,,
Short-Run Copying (A-1),UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,Short-RunCopying2091S(2023),2023-04-04,2023-05-09,Inactive,,"These specifications cover the production of books, pamphlets, and cut-forms on a fast schedule requiring such operations as copying/duplicating, binding, packing, and delivery. Complete specifications may be found at: ",https://sam.gov/opp/5faeb88d696c4868b97ccce4f4849265/view,,
LGR23PL0002 - ERAL Audio Over IP Audio Matrix,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,,2023-04-04,2023-04-19,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate intend to award a sole-source firm fixed",https://sam.gov/opp/9cda7f2017204d96919a59bfe9b51279/view,,
Virtual Industry Day for Digital Accessibility: Enterprise Monitoring and Usability Research,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Sources Sought,LOC-A11Y-1,2023-04-04,2023-04-17,Inactive,,"The Library of Congress plans to conduct a virtual industry day to better understand the state of the market for: Enterprise wide accessibility monitoring and reporting tools, and Services to facilitate usability testing a",https://sam.gov/opp/6901ef6fc5ce4e6d853af79cdcf20e06/view,,
"Rent warehouse – mix usage space in a building situated in the Pueblo, CO area.",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Presolicitation,GPO0038,2023-04-03,2023-04-07,Inactive,,"The U.S. Government currently occupies office and related space in a building under a lease in Pueblo, CO that will be expiring. The Government will consider alternative space if economically advantageous. In making this determination, the Governm",https://sam.gov/opp/aeb7eb270c0c44af8a9237cb7ec6a308/view,,
Laundry and Delivery of Linen,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Combined Synopsis/Solicitation,AOCSSB23Q0035,2023-04-03,2023-04-17,Inactive,,"The Architect of the Capitol (AOC), Supplies, Services, and Material Management Division (SSMMD) is issuing Request for Quotations (RFQ) # AOCSSB23Q0035 for Laundry and Delivery of Huck Towels. It is anticipated that this RFQ will result in",https://sam.gov/opp/0071da4bae674be8a206d7d63454be9b/view,,
Solicitation - Digital Innovation Indefinite Delivery/Indefinite Quantity (IDIQ) Contract,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV22R0043,2023-03-31,2022-08-01,Inactive,,"Update 7/28/2022 Attachment J11 - Questions Answers - Release 1 - 030ADV22R0043 (Corrected) has been added, correcting an answer to a question on line 45 of the document. Please see this language highlighted in yellow and disre",https://sam.gov/opp/1e6e3f521dd443809e6d0107b5101580/view,,
CAD SOFTWARE CAD AND CAFM SERVICES IDIQ,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV23Q0054,2023-03-31,2023-04-19,Inactive,,"The Library of Congress’ (LOC or Library) Space Utilization, Planning and Design (SUPD) provides space planning, interior design procurement and construction management services (in conjunction with the Architect of the Capitol (AOC)) for al",https://sam.gov/opp/4d5c745326134e0bb0f726d7b9a98e53/view,,
Request for Information (RF) - Library of Congress BARD Mobile Maintenance and Development,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Sources Sought,NLS23PL0009,2023-03-30,2023-04-07,Inactive,,Amendment 1 to RFI Library of Congress BARD Mobile Maintenance and Development. A new attachment is added called Questions and Answers - RFI NLS23PL0009.xlsx. ---------------------------------------------------------------------,https://sam.gov/opp/f28d5fa5e7954ccdab74e07e7c0a2d39/view,,
"Learn the Signs Act Early Print Materials, 7 different items with specific titles",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,LearntheSignsActEarlyPrintMaterials7differentitemswithspecifictitles723937(2023),2023-03-30,2023-04-06,Inactive,,"Single award contract for HHS/PHS/CDC. This contract consists of proofing, printing (pamphlets and forms), trimming, folding, saddle stitch binding, shrinkwrapping, and shipping to 1 destination. 7 different publications totaling 475,000 copi",https://sam.gov/opp/dde0e279b8b940088ea6b88f74b533ed/view,,
Direct mail package.,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,740-908jacket,2023-03-30,2023-04-04,Inactive,,***Must be printed on a press capable of printing six colors (six printing units) plus aqueous coating in a single pass. ***All PMS color must be shown in proofs as close as possible to the actual color. ***Delivery Date is non-n,https://sam.gov/opp/4c22b92aab29426c8fe1b034f4846d83/view,,
Annual Financial Statement Audit,"HOUSE OF REPRESENTATIVES, THE","HOUSE OF REPRESENTATIVES, THE",OFFICE OF ACQUISITIONS MANAGEMENT,Solicitation,OAM23031S,2023-03-29,2023-04-07,Inactive,,3/29/2023 - Amendment OAM23031S-001 has been released to provide responses to vendor questions. ***THE AMENDMENT PERTAINING TO THIS SOLICITATION IS AVAILABLE AT WWW.HOUSE.GOV. CLICK ON 'DOING BUSINE,https://sam.gov/opp/b55bcb9c6149407ab44f4335157a5a70/view,,
Evertz Cards and Spare Parts,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23Q0017,2023-03-29,2023-02-08,Inactive,,The contractor shall provide Evertz cards and spare parts for use in the Library's existing NAVCC Evertz Systems. The contractor must be an authorized Evertz reseller and must be able to provide all Evertz products. Please see,https://sam.gov/opp/b17caa290ace4b44b47ac0614d5bd3f3/view,,
Braille Calendars for the Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV23Q0069,2023-03-29,2023-04-10,Inactive,,Amendment 2: This amendment answers further questions recieved. - - - - - Amendment 1: This amendment answers a question. - - - - - This is a combined synopsis/solicitation being issued in accordance with the author,https://sam.gov/opp/168b44b22f3b44568a20950977c7f399/view,,
"Fire Alarm and Audibility Upgrade Project at the James Madison Memorial Building (JMMB), Library of Congress in Washington, DC.",ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Presolicitation,AOCACB23R0032,2023-03-29,2023-04-13,Inactive,,"PRESOLICITATION NOTICE THIS PROCUREMENT IS BEING SOLICITED UNRESTRICTED, FULL AND OPEN COMPETITION. Solicitation No. AOCACB23R0032 Project Name: Fire Alarm and Audibility Upgrade Project at the James Madison Memorial Buildi",https://sam.gov/opp/a14504735e7742efbc215adae825df4e/view,,
Library of Congress - Apple Studio Mac Computers,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLGD23P0009,2023-03-28,,Inactive,,,https://sam.gov/opp/db5ceaa7485849baa27521f0ed720ae6/view,"MAC Business Solutions, Inc.",
Library of Congress - Event Presentation Equipment,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV23Q0087,2023-03-28,2023-03-28,Inactive,,The Library of Congress (Library) requires event presentation equipment capable of transport within the Library complex to support various venues. The equipment sought will support medium to large-scale events occurring in the Great Hall of the Li,https://sam.gov/opp/f022ddffda9d4981af45375cf152cc0e/view,,
